Product_ID,Warehouse,Opening_Stock,Stock_Received,Quantity_Sold,Current_Stock,Reorder_Level,Safety_Stock,Stock_Status,Expiry_Month,Calculated_Stock
PROD074,WH-South,594,7473,6808,1259,245,98,In Stock,2028-04,1259
PROD075,WH-East,91,6622,6487,226,435,174,Reorder,2026-12,226
PROD076,WH-North,522,6949,6513,958,201,80,In Stock,2027-03,958
PROD077,WH-North,336,7340,6869,807,373,149,In Stock,2027-06,807
PROD078,WH-East,268,7443,7308,403,436,174,Reorder,2027-03,403
PROD079,WH-East,286,6808,6579,515,421,168,In Stock,2028-04,515
PROD080,WH-South,161,7327,7237,251,418,167,Reorder,2026-08,251
PROD081,WH-North,534,7775,6891,1418,203,81,In Stock,2026-08,1418
PROD082,WH-East,718,9444,8868,1294,461,184,In Stock,2026-12,1294
PROD083,WH-East,967,9742,8753,1956,285,114,In Stock,2026-08,1956
PROD084,WH-West,284,8271,7747,808,444,177,In Stock,2027-06,808
PROD085,WH-North,858,8144,7300,1702,200,80,In Stock,2026-12,1702
PROD086,WH-East,702,9502,8231,1973,294,117,In Stock,2026-08,1973
PROD087,WH-East,596,9826,9085,1337,382,152,In Stock,2026-12,1337
PROD088,WH-South,311,8001,7494,818,370,148,In Stock,2027-12,818
PROD089,WH-North,711,7018,6524,1205,383,153,In Stock,2028-04,1205
PROD090,WH-East,657,10748,10065,1340,308,123,In Stock,2026-08,1340
PROD091,WH-East,366,8713,7863,1216,454,181,In Stock,2028-04,1216
PROD092,WH-South,271,8719,8564,426,398,159,In Stock,2027-06,426
PROD093,WH-West,1193,8884,8328,1749,472,188,In Stock,2027-03,1749
PROD094,WH-North,871,10790,9740,1921,373,149,In Stock,2027-06,1921
PROD095,WH-South,766,6542,6153,1155,440,176,In Stock,2026-08,1155
PROD096,WH-East,949,8365,7650,1664,372,148,In Stock,2026-12,1664
PROD097,WH-West,985,8464,7509,1940,440,176,In Stock,2027-06,1940
PROD098,WH-South,136,9641,9332,445,209,83,In Stock,2027-03,445
PROD099,WH-South,858,7698,7261,1295,320,128,In Stock,2027-06,1295
PROD100,WH-South,364,7948,7465,847,307,122,In Stock,2027-03,847
